GSvolume_pa_composition_average,ML pred ASR barrier (eV),IsRareEarth_composition_average,IsFBlock_composition_average,NdUnfilled_composition_average,CovalentRadii_composition_average,BCCfermi_composition_average,GSenergy_pa_composition_average,AtomicVolume_arithmetic_average,ThermalExpansionCoefficient_arithmetic_average,ICSDVolume_composition_average,valence_composition_average,HeatFusion_composition_average,CovalentRadius_composition_average,phi_difference,HHIr_composition_average,ThermalConductivity_arithmetic_average,HeatFusion_arithmetic_average,ElectricalConductivity_composition_average,HHIr_arithmetic_average,Electrolyte class_2,GSestFCClatcnt_composition_average,HHIp_composition_average,SecondIonizationEnergy_arithmetic_average,ElectricalConductivity_difference
21.171,1.123112687,0.0,0.0,0.52,1.0764,3.5209796352,-4.578287550400001,3741.3812918157632,169.48,25.82,2.36,4.338399999999999,108.56,2.78,1204.0,53.09348,8.9,3.504,1700.0,0.0,4.01405240068,1472.0,18.5986,15.099999999999998
20.7199,1.170289092,0.0,0.0,0.6,1.0716,3.4689985582,-4.6647762958,3741.3812918157632,169.48,25.514000000000003,2.4000000000000004,4.471599999999999,108.42,2.78,1200.0,53.09348,8.9,3.554,1700.0,0.0,3.9819516992,1468.0,18.5986,15.099999999999998
21.1526,1.045027701,0.0,0.0,0.7,1.0806,3.4046104783999995,-4.628358604100001,3123.319945326889,143.11666666666667,25.938,2.34,4.4232,109.57999999999998,2.78,1224.0,47.11123333333334,9.315,3.366,1850.0,0.0,4.013102680039999,1616.0,17.538833333333333,16.099999999999998
20.60526,1.404889481,0.0,0.0,0.7399999999999999,1.0738,3.35928544356,-4.69802898354,3742.590577339854,167.34,25.5352,2.332,4.61388,109.08800000000002,2.78,1241.2,43.21348,9.748,3.5875999999999992,1900.0,0.0,3.973700430412,1596.4,18.1202,16.099999999999998
21.1342,1.214236068,0.0,0.0,0.88,1.0848,3.2882413216,-4.678429657800001,3742.590577339854,167.34,26.056,2.3200000000000003,4.507999999999999,110.6,2.78,1244.0,43.21348,9.748,3.228,1900.0,0.0,4.0121529594,1760.0,18.1202,16.099999999999998
20.7269,1.332925376,0.02,0.02,0.58,1.0772,3.318875075,-4.5909355313,3744.735869151062,170.1,25.784,2.3200000000000003,4.529599999999999,109.26,2.78,1256.0,46.75348,9.002,3.587999999999999,2000.0,0.0,3.98172728754,1620.0,18.1098,15.099999999999998
20.23,1.160105817,0.0,0.0,0.6,1.066,3.392131186,-4.654857424,6222.720769615736,271.2,25.16,2.2,4.795999999999999,107.8,2.78,1300.0,39.555800000000005,7.846666666666667,4.14,1833.3333333333333,0.0,3.9455655898,1520.0,20.727,15.099999999999998
20.23,1.355093511,0.0,0.0,0.6,1.066,3.392131186,-4.654857424,6222.720769615736,271.2,25.16,2.2,4.795999999999999,107.8,2.78,1300.0,39.555800000000005,7.846666666666667,4.14,1833.3333333333333,0.0,3.9455655898,1520.0,20.727,15.099999999999998
20.52975,1.441246163,0.0,0.0,0.75,1.073,3.3499158435000003,-4.634985522625,4673.292904941451,205.9,25.505000000000003,2.2,4.7435,108.9,2.78,1345.0,33.61685000000001,9.41,3.73,2500.0,0.0,3.97096771715,1580.0,18.74525,16.4
20.8295,1.400531751,0.0,0.0,0.9,1.08,3.307700501,-4.61511362125,4673.292904941451,205.9,25.85,2.2,4.690999999999999,110.0,2.78,1390.0,33.61685000000001,9.41,3.32,2500.0,0.0,3.9963698445,1640.0,18.74525,16.4
21.12925,1.399621648,0.0,0.0,1.05,1.087,3.2654851585,-4.595241719875,4673.292904941451,205.9,26.195,2.2,4.6385,111.1,2.78,1435.0,33.61685000000001,9.41,2.91,2500.0,0.0,4.02177197185,1700.0,18.74525,16.4
20.7714,1.1029212,0.0,0.0,0.72,1.0738,3.4945802012,-4.8096406678,4676.106818053961,206.45,25.752,2.78,4.26392,109.32,2.61,1132.0,26.68435,8.064,2.594,2550.0,1.0,3.98803603902,1438.0,19.497,10.3
20.8281,1.175718303,0.02,0.02,0.8399999999999999,1.077,3.379752423,-4.753392459900001,3742.944835059017,166.12,25.698,2.58,4.2944,110.08,2.78,1152.0,42.05348,8.562000000000001,3.006,2000.0,0.0,3.98906026734,1564.0,17.842399999999998,16.5
20.5921,1.148801367,0.01,0.01,0.85,1.0728,3.4263820342000004,-4.8607873199,4675.932078652993,204.4,25.507,2.78,4.2345,109.72,2.61,1057.0,27.56685,6.6525,2.7019999999999995,1825.0,0.0,3.97427671644,1451.0,18.038,9.8
